text;label
I'm glad that I don't have to deal with that as much now that I'm a Hellenist and found contentment with the gods..;Religion
I tend to take the casual approach with dude/man/bro with whoever Im talking to is this a recipe for accidentally friendzoning guys?;Sexuality
Giving a mind fuck to patients is totally unprofessional.. You shouldnt be allowed anywhere near patients.;Health
Im Black fwiw.. Yeah, Im not going to accept a black person that repeats white supremacists talking points.;Politics
Jesus fulfilled the Law, so all that's necessary is to love God with all heart, soul, mind, and strength, and to love neighbor as yourself.;Religion
That's the problem with some cis men, they know nothing about it and are still not even willing to learn.. Just a little bitch nap before continuing.;Sexuality
We hooked up the night after we first met and ended up dating for several months afterward, but it was really awkward.;Sexuality
Also be careful with anyone with ascites since it can give a false positive result on some bladder scanners, can try PoCUS to visualize the bladder .;Health
except i did like scrubs.. Over here in the UK there was a COVID special back in January on one of the Saturday night medical dramas set in the emergency department.;Health
Trump literally said crass, rude things and had a lot of sexual assault allegations against him... Conservatives find that charming.. Oh no thank you Howard.;Politics
I dont want the DEA listening to me and my personal conversations, that should be illegal and against the 4th amendment!.;Politics
Fuck Republicans, your cult is trying to destroy the United States and install its own version of an autocrat.;Politics
Part of me doesnt want to contemplate gender or entertain the idea of different pronouns because Im scared of potentially realizing Im not a woman.;Sexuality
It is whether the department can prove to a unanimous jury beyond a reasonable doubt that Bannon did not believe his assertion of privilege to be credible.;Politics
